,soup
423,"['cillian murphy', 'naomie harris', 'noah huntley', 'christopher dunne', 'emma hitching'] danny boyle ['london', 'manchester city', 'submachine gun', 'gas station', 'survivor'] twenty-eight days after a killer virus was accidentally unleashed from a british research facility, a small group of london survivors are caught in a desperate struggle to protect themselves from the infected. carried by animals and humans, the virus turns those it infects into homicidal maniacs -- and it's absolutely impossible to contain. 28 days later  ['action', 'horror', 'sci-fi']"
424,"['jennifer lopez', 'ralph fiennes', 'natasha richardson', 'stanley tucci', 'tyler posey'] wayne wang ['hotel', 'politician', 'mistaken identity', 'maid', 'single mother'] a senatorial candidate falls for a hotel maid, thinking she is a socialite when he sees her trying on a wealthy woman's dress. maid in manhattan  ['comedy', 'romance']"
425,"['wesley snipes', 'kris kristofferson', 'ron perlman', 'leonor varela', 'norman reedus'] guillermo del toro ['katana', 'mutation', 'silver', 'superhero', 'tragic villain'] a rare mutation has occurred within the vampire community - the reaper. a vampire so consumed with an insatiable bloodlust that they prey on vampires as well as humans, transforming victims who are unlucky enough to survive into reapers themselves. blade is asked by the vampire nation for his help in preventing a nightmare plague that would wipe out both humans and vampires. blade ii  ['action', 'horror', 'thriller']"
426,"['leonardo dicaprio', 'daniel day-lewis', 'cameron diaz', 'liam neeson', 'brendan gleeson'] martin scorsese ['fire', 'irish-american', 'immigrant', 'gang war', 'pickpocket'] 1863. america was born in the streets. amsterdam vallon returns to the five points of america to seek vengeance against the psychotic gangland kingpin, bill the butcher, who murdered his father years earlier. with an eager pickpocket by his side and a whole new army, vallon fights his way to seek vengeance on the butcher and restore peace in the area. gangs of new york  ['crime', 'drama']"
427,"['jodie foster', 'kristen stewart', 'forest whitaker', 'dwight yoakam', 'jared leto'] david fincher ['burglar', 'bunker', 'housebreaking', 'safe', 'money'] trapped in their new york brownstone's panic room, a hidden chamber built as a sanctuary in the event of break-ins, newly divorced meg altman and her young daughter sarah play a deadly game of cat-and-mouse with three intruders - burnham, raoul and junior - during a brutal home invasion. but the room itself is the focal point because what the intruders really want is inside it. panic room  ['thriller']"
428,"['ryan reynolds', 'tara reid', 'tim matheson', 'kal penn', 'simon helberg'] walt becker ['sex', 'college', 'doggystyle', 'flirting', 'exposã©'] van wilder is an outgoing, and extremely popular student who has been at coolidge college for seven years. for the past three years he has made no effort to graduate, instead spending his time organizing parties, helping other students, and posing for figure drawing classes. but after seven years, with no return on his investment, van's father decides it is time to stop paying van's tuition. national lampoon's van wilder  ['comedy']"
429,"['eminem', 'mekhi phifer', 'brittany murphy', 'kim basinger', 'michael shannon'] curtis hanson ['individual', 'street gang', 'adolescence', 'rap', 'hip-hop'] the setting is detroit in 1995. the city is divided by 8 mile, a road that splits the town in half along racial lines. a young white rapper, jimmy ""b-rabbit"" smith jr summons strength within himself to cross over these arbitrary boundaries to fulfill his dream of success in hip hop. with future and the three one third all he has to do is not choke. 8 mile  ['drama']"
430,"['adam sandler', 'winona ryder', 'john turturro', 'allen covert', 'peter gallagher'] steven brill ['love letter', 'new hampshire', 'ferrari', 'liar', 'city country contrast'] when longfellow deeds, a small-town pizzeria owner and poet, inherits $40 billion from his deceased uncle, he quickly begins rolling in a different kind of dough. moving to the big city, deeds finds himself besieged by opportunists all gunning for their piece of the pie. babe, a television tabloid reporter, poses as an innocent small-town girl to do an exposã© on deeds. mr. deeds  ['comedy', 'romance']"
431,"['parminder nagra', 'keira knightley', 'jonathan rhys meyers', 'anupam kher', 'shaheen khan'] gurinder chadha ['london', 'gay', 'tradition', 'broken engagement', 'culture clash'] jess bhamra, the daughter of a strict indian couple in london, is not permitted to play organized soccer, even though she is 18. when jess is playing for fun one day, her impressive skills are seen by jules paxton, who then convinces jess to play for her semi-pro team. jess uses elaborate excuses to hide her matches from her family while also dealing with her romantic feelings for her coach, joe. bend it like beckham  ['comedy', 'drama', 'romance']"
432,"['sandra bullock', 'hugh grant', 'alicia witt', 'dana ivey', 'robert klein'] marc lawrence ['new york', 'parish hall', 'romantic comedy', 'lawyer', 'billionaire'] dedicated environmental lawyer lucy kelson goes to work for billionaire george wade as part of a deal to preserve a community center. indecisive and weak-willed george grows dependent on lucy's guidance on everything from legal matters to clothing. exasperated, lucy gives notice and picks harvard graduate june carter as her replacement. as lucy's time at the firm nears an end, she grows jealous of june and has second thoughts about leaving george. two weeks notice  ['comedy', 'romance']"
433,"['mel gibson', 'joaquin phoenix', 'rory culkin', 'abigail breslin', 'cherry jones'] m. night shyamalan ['symbolism', 'water', 'peasant', 'alien life-form', 'farm'] a family living on a farm finds mysterious crop circles in their fields which suggests something more frightening to come. signs  ['horror', 'sci-fi', 'thriller']"
434,"['naomi watts', 'martin henderson', 'david dorfman', 'brian cox', 'shannon cochran'] gore verbinski ['island', 'videoband', 'poltergeist', 'telephone', 'suspense'] it sounded like just another urban legend: a videotape filled with nightmarish images, leading to a phone call foretelling the viewer's death in exactly seven days. as a newspaper reporter, rachel keller was naturally skeptical of the story, until four teenagers all met with mysterious deaths exactly one week after watching just such a tape. allowing her investigative curiosity to get the better of her, rachel tracks down the video... and watches it. now she has just seven days to unravel the mystery of the ring. ring, the  ['horror', 'mystery', 'thriller']"
435,"['mandy moore', 'shane west', 'peter coyote', 'daryl hannah', 'lauren german'] adam shankman ['based on novel', 'theatre group', 'north carolina', 'theatre milieu', 'high school'] when the popular, restless landon carter is forced to participate in the school drama production he falls in love with jamie sullivan, the daughter of the town's minister. jamie has a ""to-do"" list for her life and also a very big secret she must keep from landon. walk to remember, a  ['drama', 'romance']"
436,"['nia vardalos', 'john corbett', 'lainie kazan', 'michael constantine', 'andrea martin'] joel zwick ['usa', 'parents kids relationship', 'greece', 'culture clash', 'midlife crisis'] a young greek woman falls in love with a non-greek and struggles to get her family to accept him while she comes to terms with her heritage and cultural identity. my big fat greek wedding  ['comedy', 'romance']"
437,"['hugh grant', 'nicholas hoult', 'toni collette', 'rachel weisz', 'sharon small'] chris weitz|paul weitz ['london', 'rock and roll', 'single parent', 'rap', 'bachelor'] will freeman is a hip londoner who one day realizes that his friends are all involved with the responsibilities of married life and that leaves him alone in the cold. passing himself off as a single father, he starts to meet a string of single mums, confident in his ability to leave them behind when they start to ask for a commitment. but will's hope of a continued bachelorhood is interrupted when he meets 12-year old marcus, in many ways his complete opposite. about a boy  ['comedy', 'drama', 'romance']"
438,"['colin farrell', 'kiefer sutherland', 'forest whitaker', 'radha mitchell', 'katie holmes'] joel schumacher ['terrorist', 'phone booth', 'psychopath'] a slick new york publicist who picks up a ringing receiver in a phone booth is told that if he hangs up, he'll be killed... and the little red light from a laser rifle sight is proof that the caller isn't kidding. phone booth  ['drama', 'thriller']"
439,"['patrick stewart', 'jonathan frakes', 'levar burton', 'brent spiner', 'gates mcfadden'] stuart baird ['clone', 'assassination', 'ambush', 'federation', 'starfleet'] en route to the honeymoon of william riker to deanna troi on her home planet of betazed, captain jean-luc picard and the crew of the u.s.s. enterprise receives word from starfleet that a coup has resulted in the installation of a new romulan political leader, shinzon, who claims to seek peace with the human-backed united federation of planets. once in enemy territory, the captain and his crew make a startling discovery: shinzon is human, a slave from the romulan sister planet of remus, and has a secret, shocking relationship to picard himself. star trek: nemesis  ['action', 'drama', 'sci-fi', 'thriller']"
440,"['christian bale', 'taye diggs', 'emily watson', 'angus macfadyen', 'sean bean'] kurt wimmer ['resistance', 'fascism', 'totalitarian regime', 'destroy', 'phasing'] in a dystopian future, a totalitarian regime maintains peace by subduing the populace with a drug, and displays of emotion are punishable by death. a man in charge of enforcing the law rises to overthrow the system. equilibrium  ['action', 'sci-fi', 'thriller']"
441,"['jennifer aniston', 'jake gyllenhaal', 'zooey deschanel', 'john c. reilly', 'deborah rush'] miguel arteta ['suicide', 'sex', 'jealousy', 'dream', 'blackmail'] a discount store clerk strikes up an affair with a stock boy who considers himself the incarnation of holden caulfield. good girl, the  ['comedy', 'drama']"
442,"['nicole kidman', 'julianne moore', 'meryl streep', 'stephen dillane', 'miranda richardson'] stephen daldry ['london', 'suicide', 'gay', 'poetry', 'aids'] ""the hours"" is the story of three women searching for more potent, meaningful lives. each is alive at a different time and place, all are linked by their yearnings and their fears. their stories intertwine, and finally come together in a surprising, transcendent moment of shared recognition. hours, the  ['drama', 'romance']"
443,"['tom hanks', 'tyler hoechlin', 'jennifer jason leigh', 'liam aiken', 'paul newman'] sam mendes ['based on graphic novel', 'homework', 'shot in the chin', 'soft boiled egg', 'learning to drive'] mike sullivan works as a hit man for crime boss john rooney. sullivan views rooney as a father figure, however after his son is witness to a killing, mike sullivan finds himself on the run in attempt to save the life of his son and at the same time looking for revenge on those who wronged him. road to perdition  ['crime', 'drama']"
444,"['mike myers', 'beyoncã© knowles', 'seth green', 'michael york', 'mindy sterling'] jay roach ['saving the world', 'submarine', 'brother brother relationship', 'clone', 'spy'] the world's most shagadelic spy continues his fight against dr. evil. this time, the diabolical doctor and his clone, mini-me, team up with a new foe -- '70s kingpin goldmember. while pursuing the team of villains to stop them from world domination, austin gets help from his dad and an old girlfriend. austin powers in goldmember  ['comedy']"
445,"['al pacino', 'robin williams', 'maura tierney', 'hilary swank', 'martin donovan'] christopher nolan ['detective', 'confession', 'fbi', 'homicide', 'blackmail'] two los angeles homicide detectives are dispatched to a northern town where the sun doesn't set to investigate the methodical murder of a local teen. insomnia  ['action', 'crime', 'drama', 'mystery', 'thriller']"
446,"['freddie prinze jr.', 'sarah michelle gellar', 'matthew lillard', 'linda cardellini', 'rowan atkinson'] raja gosnell ['amateur detective', 'voodoo', 'resort', 'crime solving'] the mystery inc. gang have gone their separate ways and have been apart for two years, until they each receive an invitation to spooky island. not knowing that the others have also been invited, they show up and discover an amusement park that affects young visitors in very strange ways. scooby-doo  ['adventure', 'children', 'comedy', 'fantasy', 'mystery']"
447,"['jackie chan', 'jennifer love hewitt', 'jason isaacs', 'debi mazar', 'ritchie coster'] kevin donovan ['bomb', 'intelligence', 'chauffeur', 'wound', 'secret agent'] cabbie-turned-chauffeur jimmy tong learns there is really only one rule when you work for playboy millionaire clark devlin : never touch devlin's prized tuxedo. but when devlin is temporarily put out of commission in an explosive accident, jimmy puts on the tux and soon discovers that this extraordinary suit may be more black belt than black tie. paired with a partner as inexperienced as he is, jimmy becomes an unwitting secret agent. tuxedo, the  ['action', 'comedy']"
448,"['james spader', 'maggie gyllenhaal', 'jeremy davies', 'lesley ann warren', 'stephen mchattie'] steven shainberg ['suicide', 'clerk', 'fetish', 'sadomasochism', 'lawyer'] a young woman, recently released from a mental hospital, gets a job as a secretary to a demanding lawyer, where their employer-employee relationship turns into a sexual, sadomasochistic one. secretary  ['comedy', 'drama', 'romance']"
449,"['dwayne johnson', 'kelly hu', 'michael clarke duncan', 'steven brand', 'bernard hill'] chuck russell ['egypt', 'temple'] in ancient egypt, peasant mathayus is hired to exact revenge on the powerful memnon and the sorceress cassandra, who are ready to overtake balthazar's village. amid betrayals, thieves, abductions and more, mathayus strives to bring justice to his complicated world. the scorpion king  ['action', 'adventure', 'fantasy', 'thriller']"
450,"['michael moore', 'george h. w. bush', 'george w. bush', 'dick clark', 'charlton heston'] michael moore ['usa', 'canada', 'gun', 'homicide', 'to shoot dead'] why do 11,000 people die in america each year at the hands of gun violence? talking heads yelling from every tv camera blame everything from satan to video games. but are we that much different from many other countries? what sets us apart? how have we become both the master and victim of such enormous amounts of violence? this is not a film about gun control. it is a film about the fearful heart and soul of the united states, and the 280 million americans lucky enough to have the right to a constitutionally protected uzi. from a look at the columbine high school security camera tapes to the home of oscar-winning nra president charlton heston, from a young man who makes homemade napalm with the anarchist's cookbook to the murder of a six-year-old girl by another six-year-old, bowling for columbine is a journey through america, through our past, hoping to discover why our pursuit of happiness is so riddled with violence. bowling for columbine  ['documentary']"
451,"['edward norton', 'philip seymour hoffman', 'barry pepper', 'rosario dawson', 'anna paquin'] spike lee ['prison', 'prisoner', 'dream', 'drug dealer', 'nightclub'] the filmed adaptation from the david benioff's novel of the same name. set in new york, a convicted drug dealer named monty has one day left of freedom before he is sent to prison. anger, blame, frustration, betrayal, guilt and loneliness are themes on this last day of friends, family, parties, saying goodbye, and setting things straight. a spike lee joint. 25th hour  ['crime', 'drama']"
452,"['ben affleck', 'morgan freeman', 'james cromwell', 'ken jenkins', 'liev schreiber'] phil alden robinson ['cia', 'terrorist', 'atomic bomb', 'cold war', 'nuclear explosion'] cia analyst jack ryan discovers that an islamic terrorist group is constructing a nuclear warhead. jack must thwart the plans of the terrorists to create a catastrophic conflict between the united states and russia by detonating a nuclear weapon during a football game in baltimore attended by both the u.s. president and russia's new president. sum of all fears, the  ['drama', 'thriller']"
453,"['mel gibson', 'greg kinnear', 'madeleine stowe', 'sam elliott', 'chris klein'] randall wallace ['vietnam veteran', 'missile', 'vietnam war', 'army', 'major'] the story of the first major battle of the american phase of the vietnam war and the soldiers on both sides that fought it. we were soldiers  ['action', 'drama', 'war']"
454,"['johnny knoxville', 'bam margera', 'steve-o', 'chris pontius', 'dave england'] jeff tremaine ['disgust', 'pain', 'stunt', 'music video', 'stuntman'] johnny knoxville and his crazy friends appear on the big screen for the very first time in jackass: the movie. they wander around japan in panda outfits, wreak havoc on a once civilized golf course, they even do stunts involving live alligators, and so on. while johnny knoxvile and his pals put their life at risk, they are entertaining people at the same time. get ready for jackass: the movie!! jackass: the movie  ['action', 'comedy', 'documentary']"
455,"['salma hayek', 'alfred molina', 'mã\xada maestro', 'patricia reyes spã\xadndola', 'diego luna'] julie taymor ['painter', ""love of one's life"", 'disabled', 'woman director'] ""frida"" chronicles the life frida kahlo shared unflinchingly and openly with diego rivera, as the young couple took the art world by storm. from her complex and enduring relationship with her mentor and husband to her illicit and controversial affair with leon trotsky, to her provocative and romantic entanglements with women, frida kahlo lived a bold and uncompromising life as a political, artistic, and sexual revolutionary frida  ['drama', 'romance']"
456,"['nicolas cage', 'meryl streep', 'chris cooper', 'tilda swinton', 'cara seymour'] spike jonze ['alligator', 'marriage crisis', ""writer's block"", 'orchid'] a love-lorn script writer grows increasingly desperate in his quest to adapt the book 'the orchid thief'. adaptation  ['comedy', 'drama', 'romance']"
457,"['reese witherspoon', 'josh lucas', 'patrick dempsey', 'candice bergen', 'rhona mitra'] andy tennant ['new york', 'marriage proposal', 'alabama', 'career woman', 'fashion designer'] new york fashion designer melanie carmichael suddenly finds herself engaged to the city's most eligible bachelor. but melanie's past holds many secrets, including jake, the redneck husband she married in high school, who refuses to divorce her. bound and determined to end their contentious relationship once and for all, melanie sneaks back home to alabama to confront her past. sweet home alabama  ['comedy', 'romance']"
458,"['guy pearce', 'samantha mumba', 'phyllida law', 'laura kirk', 'mark addy'] simon wells ['future', 'time machine'] hoping to alter the events of the past, a 19th century inventor instead travels 800,000 years into the future, where he finds humankind divided into two warring races. time machine, the  ['action', 'adventure', 'sci-fi']"
459,"['cameron diaz', 'christina applegate', 'thomas jane', 'selma blair', 'jason bateman'] roger kumble ['roommate', 'marriage', 'bloopers during credits', 'aftercreditsstinger', 'duringcreditsstinger'] christina's love life is stuck in neutral. after years of avoiding the hazards of a meaningful relationship, one night while club-hopping with her girlfriends, she meets peter, her perfect match. fed up with playing games, she finally gets the courage to let her guard down and follow her heart, only to discover that peter has suddenly left town. accompanied by courtney, she sets out to capture the one that got away. sweetest thing, the  ['comedy', 'romance']"
460,"['denzel washington', 'robert duvall', 'anne heche', 'kimberly elise', 'daniel e. smith'] nick cassavetes ['father-son relationship', 'chicago', 'heart attack', 'kidnapper', 'heart disease'] john q is a 2002 film by nick cassavetes; starring denzel washington as john quincy archibald, a father and husband whose son is diagnosed with an enlarged heart and then finds out he cannot receive a transplant because hmo insurance will not cover it. therefore, he decides to take a hospital full of patients hostage until the hospital puts his son's name on the donor's list. john q  ['crime', 'drama', 'thriller']"
461,"['josh hartnett', 'shannyn sossamon', 'adam trese', 'emmanuelle vaugier', 'barry newman'] michael lehmann ['sex addiction', 'laundromat'] matt sullivan's last big relationship ended in disaster and ever since his heart's been aching and his commitment's been lacking. then came lent, that time of year when everybody gives something up. that's when matt decides to go where no man's gone before and make a vow: no sex. whatsoever. for 40 straight days. at first he has everything under control. that is until the woman of his dreams, erica, walks into his life. 40 days and 40 nights  ['comedy', 'romance']"
462,"['adam sandler', 'emily watson', 'philip seymour hoffman', 'luis guzmã¡n', 'mary lynn rajskub'] paul thomas anderson ['shyness', 'brother sister relationship', 'business man'] a beleaguered small-business owner gets a harmonium and embarks on a romantic journey with a mysterious woman. punch-drunk love  ['comedy', 'drama', 'romance']"
463,"['stuart townsend', 'aaliyah', 'marguerite moreau', 'vincent pã©rez', 'paul mcgann'] michael rymer ['queen', 'rock star', 'secret society', 'vampire', 'light'] lestat de lioncourt is awakened from his slumber. bored with his existence he has now become this generations new rock god. while in the course of time, another has arisen, akasha, the queen of the vampires and the dammed. he want's immortal fame, his fellow vampires want him eternally dead for his betrayal, and the queen want's him for her king. who will be the first to reach him? who shall win? queen of the damned  ['fantasy', 'horror']"
464,"['catherine zeta-jones', 'renã©e zellweger', 'queen latifah', 'richard gere', 'christine baranski'] rob marshall ['based on stage musical', 'prison matron', 'jazz age', 'nude man murdered'] murderesses velma kelly (a chanteuse and tease who killed her husband and sister after finding them in bed together) and roxie hart (who killed her boyfriend when she discovered he wasn't going to make her a star) find themselves on death row together and fight for the fame that will keep them from the gallows in 1920s chicago. chicago  ['comedy', 'crime', 'drama', 'musical']"
465,"['robin williams', 'connie nielsen', 'michael vartan', 'erin daniels', 'eriq la salle'] mark romanek ['cheating', 'supermarket', 'penalty', 'knife', 'photography'] sy ""the photo guy"" parrish has lovingly developed photos for the yorkin family since their son was a baby. but as the yorkins' lives become fuller, sy's only seems lonelier, until he eventually believes he's part of their family. when ""uncle"" sy's picture-perfect fantasy collides with an ugly dose of reality, what happens next ""has the spine-tingling elements of the best psychological thrillers!"" one hour photo  ['drama', 'thriller']"
466,"['christian bale', 'matthew mcconaughey', 'izabella scorupco', 'gerard butler', 'alexander siddig'] rob bowman ['dragon', 'evolution', 'fire chief', 'animated map', 'theatre audience'] in post-apocalyptic england, an american volunteer and a british survivor team up to fight off a brood of fire-breathing dragons seeking to return to global dominance after centuries of rest underground. the brit -- leading a clan of survivors to hunt down the king of the dragons -- has much at stake: his mother was killed by a dragon, but his love is still alive. reign of fire  ['action', 'adventure', 'fantasy']"
467,"['robert de niro', 'rachael harris', 'eddie murphy', 'zaid farid', 'william shatner'] tom dey ['police operation', 'police everyday life', 'fugitive'] a spoof of buddy cop movies where two very different cops are forced to team up on a new reality based t.v. cop show. showtime  ['action', 'comedy']"
468,"['jack nicholson', 'kathy bates', 'hope davis', 'dermot mulroney', 'june squibb'] alexander payne ['channel surfing', 'mullet', 'self narration', 'moral story', 'spiritual journey'] 66-year-old warren schmidt is a retired insurance salesman and has no particular plans other than to drive around in the motor home his wife insisted they buy. he's not altogether bitter, but not happy either, as everything his wife does annoys him, and he disapproves of the man his daughter is about to marry. when his wife suddenly dies, he sets out to postpone the imminent marriage of his daughter to a man he doesn't like, while coping with discoveries about his late wife and himself in the process. about schmidt  ['comedy', 'drama']"
469,"['george clooney', 'natascha mcelhone', 'viola davis', 'jeremy davies', 'ulrich tukur'] steven soderbergh ['clone', 'loss of sense of reality', 'hallucination', 'space travel', 'grief'] upon arrival at the space station orbiting an ocean world called solaris a psychologist discovers that the commander of an expedition to the planet has died mysteriously. other strange events soon start happening as well, such as the appearance of old acquaintances of the crew, including some who are dead. solaris  ['drama', 'romance', 'sci-fi']"
470,"['richard gere', 'laura linney', 'will patton', 'bob tracey', 'debra messing'] mark pellington ['dream', 'hallucination', 'alien life-form', 'tumor', 'hospital'] reporter john klein is plunged into a world of impossible terror and unthinkable chaos when fate draws him to a sleepy west virginia town whose residents are being visited by a great winged shape that sows hideous nightmares and fevered visions. mothman prophecies, the  ['drama', 'fantasy', 'horror', 'mystery', 'thriller']"
471,"['julianne moore', 'dennis quaid', 'dennis haysbert', 'patricia clarkson', 'viola davis'] todd haynes ['black people', 'wife husband relationship', 'botanist', 'homosexuality'] in 1950s connecticut, a housewife faces a marital crisis and mounting racial tensions in the outside world. far from heaven  ['drama', 'romance']"
472,"['dennis quaid', 'rachel griffiths', 'beth grant', 'angus t. jones', 'brian cox'] john lee hancock ['father-son relationship', 'baseball', 'sports team', 'sport', ""life's dream""] jim morris never made it out of the minor leagues before a shoulder injury ended his pitching career twelve years ago. now a married-with-children high-school chemistry teacher and baseball coach in texas, jim's team makes a deal with him: if they win the district championship, jim will try out with a major-league organization. the bet proves incentive enough for the team, and they go from worst to first, making it to state for the first time in the history of the school. jim, forced to live up to his end of the deal, is nearly laughed off the try-out field--until he gets onto the mound, where he confounds the scouts (and himself) by clocking successive 98 mph fastballs, good enough for a minor-league contract with the tampa bay devil rays. jim's still got a lot of pitches to throw before he makes it to the show, but with his big-league dreams revived, there's no telling where he could go. rookie, the  ['drama']"
473,"['sam rockwell', 'drew barrymore', 'julia roberts', 'rutger hauer', 'brad pitt'] george clooney ['microfilm', 'biography', 'silencer', 'intrigue'] television made him famous, but his biggest hits happened off screen. television producer by day, cia assassin by night, chuck barris was recruited by the cia at the height of his tv career and trained to become a covert operative. or so barris said. confessions of a dangerous mind  ['comedy', 'crime', 'drama', 'thriller']"
474,"['val kilmer', ""vincent d'onofrio"", 'adam goldberg', 'luis guzmã¡n', 'doug hutchison'] d.j. caruso ['dual identity', 'identity', 'war on drugs', 'jazz musician', 'drug scene'] after the murder of his beloved wife, a man in search of redemption is set adrift in a world where nothing is as it seems. on his journey, he befriends slacker jimmy ""the finn"", becomes involved in rescuing his neighbor colette from her own demons, and gets entangled in a web of deceit full of unexpected twists and turns. salton sea, the  ['crime', 'drama', 'thriller']"
475,"['jim caviezel', 'guy pearce', 'richard harris', 'james frain', 'dagmara domiå„czyk'] kevin reynolds ['loss of lover', 'lover (female)', 'ex-lover', 'torture', 'napoleon bonaparte'] edmond dantã©s's life and plans to marry the beautiful mercedes are shattered when his best friend, fernand, deceives him. after spending 13 miserable years in prison, dantã©s escapes with the help of a fellow inmate and plots his revenge, cleverly insinuating himself into the french nobility. the count of monte cristo  ['action', 'adventure', 'drama', 'thriller']"
476,"['kieran culkin', 'claire danes', 'jeff goldblum', 'jared harris', 'amanda peet'] burr steers ['father-son relationship', 'patenonkel', 'independent film', 'falling in love'] a young man's peculiar upbringing renders him unable to competently cope with the struggle of growing up. igby goes down  ['comedy', 'drama']"
477,"['anthony hopkins', 'edward norton', 'ralph fiennes', 'harvey keitel', 'emily watson'] brett ratner ['psychopath', 'serial killer', 'fbi agent'] former fbi agent will graham, who was once nearly killed by the savage hannibal ""the cannibal"" lecter now has no choice but to face him again. it seems lecter is the only one who can help graham track down a new serial killer, francis dolarhyde -- but can he be trusted? red dragon  ['crime', 'mystery', 'thriller']"
478,"['rupert everett', 'colin firth', 'reese witherspoon', 'judi dench', 'tom wilkinson'] oliver parker ['new love', 'country estate', 'country house', 'false identity', 'beguilement'] two young gentlemen living in 1890s england use the same pseudonym (""ernest"") on the sly, which is fine until they both fall in love with women using that name, which leads to a comedy of mistaken identities... importance of being earnest, the  ['comedy', 'drama', 'romance']"
479,"['chiwetel ejiofor', 'audrey tautou', 'sergi lã³pez', 'benedict wong', 'sophie okonedo'] stephen frears ['london', 'prostitute', 'hotel', 'night watchman', 'illegal immigration'] an urban hotel in london is a gathering and flash point for legal and illegal immigrants attempting to cobble together their lives in a new country. the immigrants include senay, a turkish woman, and a nigerian doctor named okwe who is working as a night porter at the hotel. the pair discover the hotel is a front for all sorts of clandestine activities. their only wish is to avoid possible deportation. okwe becomes more entangled in the goings on when he is called to fix a toilet in one of the rooms. he discovers the plumbing has been clogged by a human heart. dirty pretty things  ['crime', 'drama', 'thriller']"
480,"['colin hanks', 'jack black', 'schuyler fisk', 'bret harrison', 'kyle howard'] jake kasdan ['surfer', 'province', 'death of a friend', 'idol', 'change'] shaun brumder is a local surfer kid from orange county who dreams of going to stanford to become a writer and to get away from his disfunctional family household. except shaun runs into one complication after another starting when his application is rejected after his dim-witted guidance counselor sends the wrong application. orange county  ['comedy']"
481,"['bruce campbell', 'ossie davis', 'ella joyce', 'heidi marnhout', 'bob ivy'] don coscarelli ['john f. kennedy', 'elvis presley'] bubba ho-tep tells the ""true"" story of what really did become of elvis presley. we find elvis as an elderly resident in an east texas rest home, who switched identities with an elvis impersonator years before his ""death,"" then missed his chance to switch back. he must team up with jfk and fight an ancient egyptian mummy for the souls of their fellow residents. bubba ho-tep  ['comedy', 'horror']"
482,"['robin williams', 'catherine keener', 'edward norton', 'danny devito', 'jon stewart'] danny devito ['corruption', 'moderator', 'tv show', 'success', 'irish mafia'] tells the story of rainbow randolph, the corrupt, costumed star of a popular children's tv show, who is fired over a bribery scandal and replaced by squeaky-clean smoochy, a puffy fuscia rhinoceros. as smoochy catapults to fame - scoring hit ratings and the affections of a network executive - randolph makes the unsuspecting rhino the target of his numerous outrageous attempts to exact revenge and reclaim his status as america's sweetheart. death to smoochy  ['comedy', 'crime', 'drama']"
483,"['john travolta', 'samuel l. jackson', 'uma thurman', 'bruce willis', 'ving rhames'] quentin tarantino ['transporter', 'brothel', 'drug dealer', 'boxer', 'massage'] a burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. their adventures unfurl in three stories that ingeniously trip back and forth in time. pulp fiction  ['comedy', 'crime', 'drama', 'thriller']"
484,"['tim robbins', 'morgan freeman', 'bob gunton', 'william sadler', 'clancy brown'] frank darabont ['prison', 'corruption', 'police brutality', 'prison cell', 'delinquent'] framed in the 1940s for the double murder of his wife and her lover, upstanding banker andy dufresne begins a new life at the shawshank prison, where he puts his accounting skills to work for an amoral warden. during his long stretch in prison, dufresne comes to be admired by the other inmates -- including an older prisoner named red -- for his integrity and unquenchable sense of hope. shawshank redemption, the  ['crime', 'drama']"
485,"['tom hanks', 'robin wright', 'gary sinise', 'mykelti williamson', 'sally field'] robert zemeckis ['vietnam veteran', 'hippie', 'mentally disabled', 'running', 'based on novel'] a man with a low iq has accomplished great things in his life and been present during significant historic events - in each case, far exceeding what anyone imagined he could do. yet, despite all the things he has attained, his one true love eludes him. 'forrest gump' is the story of a man who rose above his challenges, and who proved that determination, courage, and love are more important than ability. forrest gump  ['comedy', 'drama', 'romance', 'war']"
486,"['jonathan taylor thomas', 'matthew broderick', 'james earl jones', 'jeremy irons', 'moira kelly'] roger allers|rob minkoff ['loss of parents', 'wild boar', 'uncle', 'shaman', 'redemption'] a young lion cub named simba can't wait to be king. but his uncle craves the title for himself and will stop at nothing to get it. lion king, the  ['adventure', 'animation', 'children', 'drama', 'musical', 'imax']"
487,"['keanu reeves', 'sandra bullock', 'dennis hopper', 'jeff daniels', 'joe morton'] jan de bont ['bomb', 'airport', 'bus', 'bus ride', 'highway'] los angeles swat cop jack traven is up against bomb expert howard payne, who's after major ransom money. first it's a rigged elevator in a very tall building. then it's a rigged bus--if it slows, it will blow, bad enough any day, but a nightmare in la traffic. and that's still not the end. speed  ['action', 'romance', 'thriller']"
488,"['jim carrey', 'jeff daniels', 'lauren holly', 'mike starr', 'karen duffy'] peter farrelly ['gas station', 'motel', 'utah', 'stupidity', 'pill'] lloyd and harry are two men whose stupidity is really indescribable. when mary, a beautiful woman, loses an important suitcase with money before she leaves for aspen, the two friends (who have found the suitcase) decide to return it to her. after some ""adventures"" they finally get to aspen where, using the lost money they live it up and fight for mary's heart. dumb & dumber (dumb and dumber)  ['adventure', 'comedy']"
